id,raw_id,name,lon,lat,x,y,adname
station:BV10717294,BV10717294,奉浦大道(地铁站),121.44441506256743,30.944096931690446,13519130.44257009,3625491.1914514727,奉贤区
station:BV10717296,BV10717296,奉贤新城(地铁站),121.49187214118167,30.916099206818938,13524413.34039523,3621857.8146415455,奉贤区
station:BV10717291,BV10717291,望园路(地铁站),121.47906341810686,30.93464343793762,13522987.47986503,3624264.254760873,奉贤区
station:BV09332362,BV09332362,汇丰北路(地铁站),121.46573417001606,30.971684480361837,13521503.67475511,3629072.379369058,奉贤区
station:BV10717295,BV10717295,环城东路(地铁站),121.45867397062052,30.93324825617873,13520717.736953609,3624083.1891567446,奉贤区
station:BV09305190,BV09305190,环城西路(地铁站),121.43505729852656,30.926319437643787,13518088.741042243,3623184.0116139795,奉贤区
station:BV10717297,BV10717297,萧塘(地铁站),121.43727016616612,30.967902501757923,13518335.076341039,3628581.37292516,奉贤区
station:BV10717290,BV10717290,西渡(地铁站),121.42783488663483,30.991336151447683,13517284.745828269,3631624.028329407,奉贤区
station:BV09159963,BV09159963,西闸公路(地铁站),121.45715061167566,31.0029072765946,13520548.157411594,3633126.7138425997,奉贤区
station:BV09305188,BV09305188,金大公路(地铁站),121.51130353153803,30.950768412949884,13526576.432874804,3626357.1332840403,奉贤区
station:BV10717289,BV10717289,金海湖(地铁站),121.48807333080148,30.930968075237146,13523990.458758146,3623787.274734378,奉贤区
station:BV09305186,BV09305186,青村(地铁站),121.58000590078031,30.93248248735049,13534224.345634082,3623983.8093965976,奉贤区
station:BV11581688,BV11581688,一二八纪念路(地铁站),121.46276219161973,31.330758613046584,13521172.835633429,3675779.356115605,宝山区
station:BV10039870,BV10039870,上大路(地铁站),121.4040283303784,31.316769467554405,13514634.612108631,3673956.380629737,宝山区
station:BV10024672,BV10024672,上海大学(地铁站),121.38422909118678,31.32238739445389,13512430.570884032,3674688.440191444,宝山区
station:BV09356946,BV09356946,上海宝山站(地铁站),121.44169486475036,31.406026260944785,13518827.63153428,3685592.4078273196,宝山区
station:BV10820982,BV10820982,丰翔路(地铁站),121.37622494143606,31.3100298751017,13511539.553009672,3673078.216942046,宝山区
station:BV09149111,BV09149111,兰岗路(地铁站),121.45644019760515,31.379507679410825,13520469.074479023,3682134.1395988907,宝山区
